,CTS_JIDT_NM,A_EMD_CO,A_HSHLD_CO,B_SUBSUM_EMD_CO,B_SUBSUM_HSHLD_CO,B_PPP_OPRTN_EMD_CO,B_PPP_OPRTN_HSHLD_CO,B_PPP_IN_OPRTN_EMD_CO,B_PPP_IN_OPRTN_HSHLD_CO,C_EMD_CO,C_HSHLD_CO
0,전 국,3503,21294009,3494,21275613,3494,21275613,0,0,9,18396
1,서울특별시,424,4189839,424,4189839,424,4189839,0,0,,0
2,종로구,17,72118,17,72118,17,72118,0,0,,0
3,중구,15,59651,15,59651,15,59651,0,0,,0
4,용산구,16,106607,16,106607,16,106607,0,0,,0
5,성동구,17,128727,17,128727,17,128727,0,0,,0
6,광진구,15,158390,15,158390,15,158390,0,0,,0
7,동대문구,14,159426,14,159426,14,159426,0,0,,0
8,중랑구,16,177400,16,177400,16,177400,0,0,,0
9,성북구,20,188304,20,188304,20,188304,0,0,,0
10,강북구,13,141229,13,141229,13,141229,0,0,,0
11,도봉구,14,136898,14,136898,14,136898,0,0,,0
12,노원구,19,219736,19,219736,19,219736,0,0,,0
13,은평구,16,201891,16,201891,16,201891,0,0,,0
14,서대문구,14,136766,14,136766,14,136766,0,0,,0
15,마포구,16,169432,16,169432,16,169432,0,0,,0
16,양천구,18,177434,18,177434,18,177434,0,0,,0
17,강서구,20,245045,20,245045,20,245045,0,0,,0
18,구로구,15,172220,15,172220,15,172220,0,0,,0
19,금천구,10,104483,10,104483,10,104483,0,0,,0
20,영등포구,18,165729,18,165729,18,165729,0,0,,0
21,동작구,15,172506,15,172506,15,172506,0,0,,0
22,관악구,21,251955,21,251955,21,251955,0,0,,0
23,서초구,18,173970,18,173970,18,173970,0,0,,0
24,강남구,22,234080,22,234080,22,234080,0,0,,0
25,송파구,27,258382,27,258382,27,258382,0,0,,0
26,강동구,18,177460,18,177460,18,177460,0,0,,0
27,부산광역시,205,1451270,205,1451270,205,1451270,0,0,,0
28,중구,9,23282,9,23282,9,23282,0,0,,0
29,서구,13,52497,13,52497,13,52497,0,0,,0
30,동구,12,43036,12,43036,12,43036,0,0,,0
31,영도구,11,55893,11,55893,11,55893,0,0,,0
32,부산진구,20,165238,20,165238,20,165238,0,0,,0
33,동래구,13,107917,13,107917,13,107917,0,0,,0
34,남구,17,113791,17,113791,17,113791,0,0,,0
35,북구,13,120707,13,120707,13,120707,0,0,,0
36,해운대구,18,165290,18,165290,18,165290,0,0,,0
37,사하구,16,135641,16,135641,16,135641,0,0,,0
38,금정구,17,102522,17,102522,17,102522,0,0,,0
39,강서구,7,44112,7,44112,7,44112,0,0,,0
40,연제구,12,84398,12,84398,12,84398,0,0,,0
41,수영구,10,77733,10,77733,10,77733,0,0,,0
42,사상구,12,96403,12,96403,12,96403,0,0,,0
43,기장군,5,62810,5,62810,5,62810,0,0,,0
44,대구광역시,147,1006648,147,1006648,147,1006648,0,0,,0
45,중구,12,37987,12,37987,12,37987,0,0,,0
46,동구,20,147154,20,147154,20,147154,0,0,,0
47,서구,17,88468,17,88468,17,88468,0,0,,0
48,남구,13,73979,13,73979,13,73979,0,0,,0
49,북구,23,171181,23,171181,23,171181,0,0,,0
