,관리제외지역 비율(%)_면적비,생활폐기물 관리구역_동(읍·면)수,관리제외지역 비율(%)_동(읍·면)수,관리제외지역 비율(%)_세대수(가구),전체 행정구역_동(읍·면)수,구분_시군구,전체 행정구역_면적(㎢),생활폐기물관리제외지역_세대수(가구),생활폐기물관리제외지역_인구(명),생활폐기물 관리구역_인구(명),생활폐기물관리제외지역_면적(㎢),생활폐기물관리제외지역_동(읍·면)수,생활폐기물 관리구역_면적(㎢),전체 행정구역_인구(명),관리제외지역 비율(%)_연구비,전체 행정구역_세대수(가구),생활폐기물 관리구역_세대수(가구),구분_시도
0,0.0,17,0.0,0.0,17,종로구,23.91,0,0,153589,0.0,0,23.91,153589,0.0,72118,72118,서울
1,0.0,15,0.0,0.0,15,중구,9.96,0,0,133240,0.0,0,9.96,133240,0.0,59651,59651,서울
2,0.0,16,0.0,0.0,16,용산구,21.87,0,0,245102,0.0,0,21.87,245102,0.0,106607,106607,서울
3,0.0,17,0.0,0.0,17,성동구,16.86,0,0,307161,0.0,0,16.86,307161,0.0,128727,128727,서울
4,0.0,15,0.0,0.0,15,광진구,17.06,0,0,378161,0.0,0,17.06,378161,0.0,158390,158390,서울
5,0.0,14,0.0,0.0,14,동대문구,14.21,0,0,360153,0.0,0,14.21,360153,0.0,159426,159426,서울
6,0.0,16,0.0,0.0,16,중랑구,18.5,0,0,418476,0.0,0,18.5,418476,0.0,177400,177400,서울
7,0.0,20,0.0,0.0,20,성북구,24.58,0,0,464023,0.0,0,24.58,464023,0.0,188304,188304,서울
8,0.0,13,0.0,0.0,13,강북구,23.6,0,0,330734,0.0,0,23.6,330734,0.0,141229,141229,서울
9,0.0,14,0.0,0.0,14,도봉구,20.67,0,0,350272,0.0,0,20.67,350272,0.0,136898,136898,서울
10,0.0,19,0.0,0.0,19,노원구,35.44,0,0,569384,0.0,0,35.44,569384,0.0,219736,219736,서울
11,0.0,16,0.0,0.0,16,은평구,29.7,0,0,495937,0.0,0,29.7,495937,0.0,201891,201891,서울
12,0.0,14,0.0,0.0,14,서대문구,17.61,0,0,325871,0.0,0,17.61,325871,0.0,136766,136766,서울
13,0.0,16,0.0,0.0,16,마포구,23.84,0,0,402513,0.0,0,23.84,402513,0.0,169432,169432,서울
14,0.0,18,0.0,0.0,18,양천구,17.41,0,0,481845,0.0,0,17.41,481845,0.0,177434,177434,서울
15,0.0,20,0.0,0.0,20,강서구,41.44,0,0,602104,0.0,0,41.44,602104,0.0,245045,245045,서울
