,처리업체_소계,총계_소각,자가처리_재활용,자치단체_매립,자치단체_해역배출,자가처리_해역배출,처리업체_매립,구분_시군구,자가처리_소각,자치단체_소계,자가처리_매립,자치단체_소각,총계_매립,자치단체_재활용,처리업체_소각,총계_계,자가처리_소계,처리업체_재활용,총계_해역배출,총계_재활용,처리업체_해역배출,구분_시도
0,0.0,0.0,0.0,0.0,0,0,0.0,종로구,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,서울
1,0.0,0.0,0.0,0.0,0,0,0.0,중구,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,서울
2,0.0,0.0,0.0,0.0,0,0,0.0,용산구,0.0,38.6,0.0,0.0,0.0,38.6,0.0,38.6,0.0,0.0,0.0,38.6,0.0,서울
3,43.4,8.0,0.0,0.0,0,0,25.0,성동구,0.0,0.0,0.0,0.0,25.0,0.0,8.0,43.4,0.0,10.4,0.0,10.4,0.0,서울
4,24.1,0.0,0.0,0.0,0,0,0.0,광진구,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.1,0.0,24.1,0.0,24.1,0.0,서울
5,6.5,0.0,0.0,0.0,0,0,6.5,동대문구,0.0,0.0,0.0,0.0,6.5,0.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0,서울
6,5.0,0.0,0.0,0.0,0,0,4.9,중랑구,0.0,0.0,0.0,0.0,4.9,0.0,0.0,5.0,0.0,0.1,0.0,0.1,0.0,서울
7,0.0,0.0,0.0,0.0,0,0,0.0,성북구,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,서울
8,0.0,0.0,0.0,0.0,0,0,0.0,강북구,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,서울
9,0.0,0.0,0.0,0.0,0,0,0.0,도봉구,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,서울
10,9.8,0.2,0.0,80.0,0,0,9.5,노원구,0.0,80.2,0.0,0.2,89.5,0.0,0.0,90.0,0.0,0.3,0.0,0.3,0.0,서울
11,28.8,0.0,0.0,0.0,0,0,0.0,은평구,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.8,0.0,28.8,0.0,28.8,0.0,서울
12,15.9,0.6,0.0,0.0,0,0,0.4,서대문구,0.0,0.0,0.0,0.0,0.4,0.0,0.6,15.9,0.0,14.9,0.0,14.9,0.0,서울
13,102.0,0.1,0.0,0.0,0,0,62.8,마포구,0.1,0.0,0.0,0.0,62.8,0.0,0.0,102.1,0.1,39.2,0.0,39.2,0.0,서울
14,28.5,15.8,0.0,30.0,0,0,10.0,양천구,0.0,30.0,0.0,0.0,40.0,0.0,15.8,58.5,0.0,2.7,0.0,2.7,0.0,서울
15,136.5,135.7,0.0,401.5,0,0,0.0,강서구,120.0,401.5,0.0,0.0,401.5,0.0,15.7,658.0,120.0,120.8,0.0,120.8,0.0,서울
16,4.9,3.1,0.0,0.0,0,0,0.5,구로구,0.0,0.0,0.0,0.0,0.5,0.0,3.1,4.9,0.0,1.3,0.0,1.3,0.0,서울
17,0.9,0.4,0.0,0.0,0,0,0.0,금천구,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.9,0.0,0.5,0.0,0.5,0.0,서울
18,14.6,3.3,0.0,0.0,0,0,0.0,영등포구,0.0,0.0,0.0,0.0,0.0,0.0,3.3,14.6,0.0,11.3,0.0,11.3,0.0,서울
19,0.0,0.0,0.0,0.0,0,0,0.0,동작구,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,서울
20,0.7,0.0,0.0,0.0,0,0,0.0,관악구,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.7,0.0,0.7,0.0,서울
21,0.0,0.0,0.0,0.0,0,0,0.0,서초구,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,서울
22,581.6,153.7,0.0,0.0,0,0,427.9,강남구,0.0,0.0,0.0,0.0,427.9,0.0,153.7,581.6,0.0,0.0,0.0,0.0,0.0,서울
23,0.0,6.7,0.0,0.1,0,0,0.0,송파구,0.0,75.1,0.0,6.7,0.1,68.3,0.0,75.1,0.0,0.0,0.0,68.3,0.0,서울
24,295.9,45.3,0.0,0.0,0,0,9.1,강동구,0.0,0.0,0.0,0.0,9.1,0.0,45.3,295.9,0.0,241.5,0.0,241.5,0.0,서울
25,0.0,0.0,0.0,0.0,0,0,0.0,중구,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,부산
26,55.4,0.0,0.0,0.0,0,0,9.7,서구,0.0,0.0,0.0,0.0,9.7,0.0,0.0,55.4,0.0,45.7,0.0,45.7,0.0,부산
27,0.0,0.0,0.0,0.0,0,0,0.0,동구,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,부산
28,39.7,7.7,0.0,0.0,0,0,12.9,영도구,0.0,0.0,0.0,0.0,12.9,0.0,7.7,39.7,0.0,19.1,0.0,19.1,0.0,부산
29,0.5,0.2,0.0,0.0,0,0,0.1,부산진구,0.0,0.0,0.0,0.0,0.1,0.0,0.2,0.5,0.0,0.2,0.0,0.2,0.0,부산
30,164.5,0.1,0.0,0.0,0,0,26.6,동래구,0.0,0.0,0.0,0.0,26.6,0.0,0.1,164.5,0.0,137.8,0.0,137.8,0.0,부산
31,113.4,1.0,0.0,0.0,0,0,111.2,남구,0.0,0.0,0.0,0.0,111.2,0.0,1.0,113.4,0.0,1.2,0.0,1.2,0.0,부산
32,39.9,0.0,0.0,0.0,0,0,0.0,북구,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.9,0.0,39.9,0.0,39.9,0.0,부산
33,109.8,5.0,0.0,0.0,0,0,101.4,해운대구,0.0,0.0,0.0,0.0,101.4,0.0,5.0,109.8,0.0,3.4,0.0,3.4,0.0,부산
34,1052.2,19.0,0.7,18.4,0,0,287.2,사하구,0.2,18.6,0.0,0.2,305.6,0.0,18.6,1071.7,0.9,746.4,0.0,747.1,0.0,부산
35,49.3,17.7,0.0,0.0,0,0,0.4,금정구,0.4,0.0,0.0,0.0,0.4,0.0,17.3,49.7,0.4,31.6,0.0,31.6,0.0,부산
36,1256.5,12.9,0.3,0.0,0,0,546.7,강서구,0.0,0.0,0.0,0.0,546.7,0.0,12.9,1256.8,0.3,696.9,0.0,697.2,0.0,부산
37,0.0,0.0,0.0,0.0,0,0,0.0,연제구,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,부산
38,0.0,0.0,0.0,0.0,0,0,0.0,수영구,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,부산
39,367.3,15.8,0.0,7.0,0,0,44.4,사상구,0.0,7.0,0.0,0.0,51.4,0.0,15.8,374.3,0.0,307.1,0.0,307.1,0.0,부산
40,431.3,98.5,1.4,0.0,0,0,60.2,기장군,0.0,0.0,0.0,0.0,60.2,0.0,98.5,432.7,1.4,272.6,0.0,274.0,0.0,부산
41,0.0,0.0,0.0,0.0,0,0,0.0,중구,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,대구
42,11.1,0.1,0.0,0.0,0,0,1.3,동구,0.0,0.0,0.0,0.0,1.3,0.0,0.1,11.1,0.0,9.7,0.0,9.7,0.0,대구
43,750.7,0.6,0.0,0.0,0,0,200.3,서구,0.0,0.0,0.0,0.0,200.3,0.0,0.6,750.7,0.0,549.8,0.0,549.8,0.0,대구
44,0.0,0.0,0.0,0.0,0,0,0.0,남구,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,대구
45,240.7,0.0,0.0,0.0,0,0,139.4,북구,0.0,0.0,0.0,0.0,139.4,0.0,0.0,240.7,0.0,101.3,0.0,101.3,0.0,대구
46,15.4,0.0,0.0,0.0,0,0,0.4,수성구,0.0,0.0,0.0,0.0,0.4,0.0,0.0,15.4,0.0,15.0,0.0,15.0,0.0,대구
47,369.7,1.1,1.4,327.5,0,0,123.5,달서구,0.0,327.5,0.0,0.0,451.0,0.0,1.1,698.6,1.4,245.1,0.0,246.5,0.0,대구
48,726.5,109.4,0.0,85.3,0,0,130.4,달성군,68.3,85.3,0.0,0.0,215.7,0.0,41.1,880.1,68.3,555.0,0.0,555.0,0.0,대구
49,40.4,0.3,0.9,0.0,0,0,5.8,군위군,0.0,0.0,0.0,0.0,5.8,0.0,0.3,41.3,0.9,34.3,0.0,35.2,0.0,대구
50,813.9,123.1,0.0,0.0,0,0,58.7,중구,28.2,0.0,0.0,0.0,58.7,0.0,94.9,842.1,28.2,660.3,0.0,660.3,0.0,인천
51,1598.3,9.4,918.3,0.0,0,0,117.1,동구,0.0,0.0,0.0,0.0,117.1,0.0,9.4,2516.6,918.3,1471.8,0.0,2390.1,0.0,인천
52,244.8,12.7,0.0,0.0,0,0,19.5,미추홀구,0.0,0.0,1.1,0.0,20.6,0.0,12.7,245.9,1.1,212.6,0.0,212.6,0.0,인천
53,197.2,1.0,0.0,0.0,0,0,186.1,연수구,0.0,0.0,0.0,0.0,186.1,0.0,1.0,197.2,0.0,10.1,0.0,10.1,0.0,인천
54,373.2,65.6,0.0,0.0,0,0,85.3,남동구,0.0,0.0,0.0,0.0,85.3,0.0,65.6,373.2,0.0,222.3,0.0,222.3,0.0,인천
55,59.8,40.0,0.0,16.4,0,0,2.5,부평구,30.7,16.4,0.0,0.0,18.9,0.0,9.3,106.9,30.7,48.0,0.0,48.0,0.0,인천
56,66.7,4.2,0.0,0.0,0,0,1.5,계양구,0.0,0.0,0.0,0.0,1.5,0.0,4.2,66.7,0.0,61.0,0.0,61.0,0.0,인천
