,자치단체_인원(명),자치단체_차량(대),자가처리_중장비(대),처리업체_중장비(대),자치단체_손수레(대),구분_시군구,처리업체_인원(명),총계_중장비(대),자가처리_손수레(대),총계_인원(명),처리업체_차량(대),자치단체_중장비(대),자가처리_인원(명),처리업체_손수레(대),자가처리_차량(대),총계_차량(대),총계_손수레(대),구분_시도
0,152,25,0,0,45,종로구,120,1,0,272,67,1,0,19,0,92,64,서울
1,0,0,0,0,0,중구,150,0,0,150,72,0,0,0,0,72,0,서울
2,74,30,0,0,0,용산구,95,0,0,169,62,0,0,0,0,92,0,서울
3,92,92,0,0,0,성동구,0,1,0,92,0,1,0,0,0,92,0,서울
4,91,46,0,0,40,광진구,0,2,0,91,0,2,0,0,0,46,40,서울
5,100,40,0,0,77,동대문구,145,0,0,245,92,0,0,0,0,132,77,서울
6,7,12,0,1,0,중랑구,147,3,0,154,56,2,0,0,0,68,0,서울
7,123,35,0,8,127,성북구,123,8,0,246,79,0,0,2,0,114,129,서울
8,96,30,0,0,0,강북구,0,6,0,96,0,6,0,0,0,30,0,서울
9,27,41,0,1,0,도봉구,78,4,0,105,52,3,0,0,0,93,0,서울
10,159,41,0,0,90,노원구,41,0,0,200,41,0,0,0,0,82,90,서울
11,37,34,0,4,0,은평구,163,7,0,200,82,3,0,53,0,116,53,서울
12,190,40,0,0,0,서대문구,0,1,0,190,0,1,0,0,0,40,0,서울
13,136,73,0,0,103,마포구,0,1,0,136,0,1,0,0,0,73,103,서울
14,69,20,0,0,0,양천구,113,1,0,182,52,1,0,8,0,72,8,서울
15,132,20,0,0,0,강서구,115,2,0,247,60,2,0,4,0,80,4,서울
16,29,34,0,3,0,구로구,104,5,0,133,58,2,0,0,0,92,0,서울
17,28,36,0,1,0,금천구,74,4,0,102,33,3,0,6,0,69,6,서울
18,139,70,0,9,32,영등포구,116,12,0,255,64,3,0,7,0,134,39,서울
19,137,67,0,0,30,동작구,0,3,0,137,0,3,0,0,0,67,30,서울
20,204,44,0,0,0,관악구,82,0,0,286,48,0,0,60,0,92,60,서울
21,201,123,0,0,10,서초구,0,7,0,201,0,7,0,0,0,123,10,서울
22,45,7,0,7,2,강남구,461,12,0,506,156,5,0,20,0,163,22,서울
23,101,36,0,1,96,송파구,213,2,0,314,104,1,0,6,0,140,102,서울
24,97,14,0,0,0,강동구,0,3,0,97,0,3,0,0,0,14,0,서울
25,63,9,0,0,0,중구,82,2,0,145,23,2,0,0,0,32,0,부산
26,38,11,0,0,0,서구,106,0,0,144,24,0,0,53,0,35,53,부산
27,78,18,0,0,4,동구,91,1,0,181,26,1,12,42,2,46,46,부산
28,65,15,0,0,0,영도구,94,0,0,159,23,0,0,0,0,38,0,부산
29,115,20,0,0,0,부산진구,184,0,0,299,77,0,0,142,0,97,142,부산
30,66,11,0,0,32,동래구,126,0,0,192,49,0,0,51,0,60,83,부산
31,79,10,0,0,0,남구,126,0,0,205,65,0,0,0,0,75,0,부산
32,74,13,0,0,0,북구,199,0,0,273,108,0,0,0,0,121,0,부산
33,97,16,0,0,0,해운대구,170,0,0,267,112,0,0,27,0,128,27,부산
34,99,16,0,0,0,사하구,160,0,0,259,90,0,0,90,0,106,90,부산
35,64,10,0,0,0,금정구,131,0,0,195,73,0,0,37,0,83,37,부산
36,17,5,0,0,0,강서구,64,0,0,81,33,0,0,12,0,38,12,부산
37,53,9,0,0,40,연제구,112,0,0,165,47,0,0,80,0,56,120,부산
38,59,8,0,0,0,수영구,66,3,0,125,60,3,0,0,0,68,0,부산
39,89,14,0,0,0,사상구,125,2,0,214,65,2,0,0,0,79,0,부산
40,30,8,0,2,0,기장군,62,3,0,92,25,1,0,6,0,33,6,부산
41,130,30,0,0,51,중구,0,0,0,130,0,0,0,0,0,30,51,대구
42,161,33,0,0,0,동구,116,0,0,277,47,0,0,0,0,80,0,대구
43,129,36,0,0,62,서구,0,0,0,129,0,0,0,0,0,36,62,대구
44,120,56,0,0,0,남구,0,0,0,120,0,0,0,0,0,56,0,대구
45,165,34,0,0,78,북구,80,0,0,245,44,0,0,0,0,78,78,대구
46,153,38,0,0,52,수성구,12,0,0,165,7,0,0,0,0,45,52,대구
47,79,31,0,2,117,달서구,68,2,0,147,15,0,0,0,0,46,117,대구
48,74,34,0,0,28,달성군,20,0,0,94,5,0,0,0,0,39,28,대구
49,7,0,0,0,0,군위군,28,3,0,35,10,3,0,15,0,10,15,대구
50,84,16,0,2,84,중구,42,4,0,126,26,2,0,12,0,42,96,인천
51,41,3,0,0,39,동구,28,0,0,69,18,0,0,13,0,21,52,인천
52,0,0,0,3,0,미추홀구,119,3,0,119,55,0,0,94,0,55,94,인천
53,71,9,0,2,103,연수구,80,3,0,151,38,1,0,14,0,47,117,인천
54,0,0,0,0,0,남동구,113,0,0,113,45,0,0,0,0,45,0,인천
55,137,7,0,3,117,부평구,103,4,0,240,84,1,0,14,0,91,131,인천
56,0,0,0,2,0,계양구,75,2,0,75,42,0,0,2,0,42,2,인천
57,0,0,0,3,0,서구,96,3,0,96,49,0,0,17,0,49,17,인천
58,44,21,0,0,20,강화군,0,3,0,44,0,3,0,0,0,21,20,인천
59,44,18,0,0,7,옹진군,4,3,0,48,2,3,0,0,0,20,7,인천
60,40,1,0,0,0,동구,62,1,0,102,19,1,0,4,0,20,4,광주
61,56,18,0,0,0,서구,140,0,0,196,34,0,0,0,0,52,0,광주
62,50,12,0,0,0,남구,75,0,0,125,27,0,0,4,0,39,4,광주
63,148,51,0,0,0,북구,0,0,0,148,0,0,0,0,0,51,0,광주
64,135,45,0,0,0,광산구,28,0,0,163,16,0,0,0,0,61,0,광주
65,103,20,0,0,75,동구,72,0,0,175,21,0,0,0,0,41,75,대전
66,109,13,0,0,0,중구,66,0,0,175,21,0,0,0,0,34,0,대전
67,146,7,0,3,127,서구,102,3,0,248,29,0,0,38,0,36,165,대전
68,14,2,0,1,0,유성구,80,1,0,94,48,0,0,0,0,50,0,대전
69,90,8,0,0,67,대덕구,56,1,0,146,44,1,0,0,0,52,67,대전
70,35,20,0,0,30,중구,79,0,0,114,48,0,0,0,0,68,30,울산
71,71,22,0,2,0,남구,153,3,0,224,81,1,0,0,0,103,0,울산
72,48,16,0,0,0,동구,38,0,0,86,47,0,0,0,0,63,0,울산
73,50,20,0,0,35,북구,51,0,0,101,39,0,0,0,0,59,35,울산
74,42,0,0,0,2,울주군,69,0,0,111,71,0,0,0,0,71,2,울산
75,80,47,0,0,0,세종특별자치시,56,0,0,136,24,0,0,0,0,71,0,세종
76,415,180,0,0,0,수원시,0,0,0,415,0,0,0,0,0,180,0,경기
77,66,38,0,0,0,성남시,527,5,0,593,214,5,0,87,0,252,87,경기
78,4,4,0,0,0,의정부시,192,4,0,196,75,4,0,30,0,79,30,경기
79,195,17,0,7,0,안양시,249,7,0,444,83,0,0,0,0,100,0,경기
80,96,4,0,0,0,부천시,774,0,0,870,153,0,0,0,0,157,0,경기
81,38,3,0,0,0,광명시,148,0,0,186,89,0,0,0,0,92,0,경기
82,0,0,0,20,0,평택시,327,20,0,327,107,0,0,20,0,107,20,경기
83,48,10,0,0,33,동두천시,41,5,0,89,17,5,0,0,0,27,33,경기
84,567,151,0,0,148,안산시,0,7,0,567,0,7,0,0,0,151,148,경기
85,149,4,0,3,0,고양시,359,5,0,508,146,2,0,97,0,150,97,경기
86,63,26,0,1,42,과천시,36,3,0,99,29,2,0,0,0,55,42,경기
87,40,10,0,0,20,구리시,64,1,0,104,21,1,0,22,0,31,42,경기
88,0,0,0,0,0,남양주시,156,0,0,156,84,0,0,0,0,84,0,경기
89,58,19,0,0,35,오산시,65,4,0,123,22,4,0,0,0,41,35,경기
90,313,116,0,0,83,시흥시,0,11,0,313,0,11,0,0,0,116,83,경기
91,169,8,0,2,0,군포시,83,2,0,252,36,0,0,10,0,44,10,경기
92,35,18,0,0,0,의왕시,54,0,0,89,25,0,0,0,0,43,0,경기
93,116,44,0,0,15,하남시,0,0,0,116,0,0,0,0,0,44,15,경기
94,122,20,0,0,32,용인시,286,5,0,408,140,5,0,0,0,160,32,경기
95,349,162,0,0,0,파주시,0,2,0,349,0,2,0,0,0,162,0,경기
96,67,8,0,0,42,이천시,111,0,0,178,39,0,0,0,0,47,42,경기
97,183,41,0,0,36,안성시,0,5,0,183,0,5,0,0,0,41,36,경기
98,51,0,0,0,36,김포시,86,1,0,137,42,1,0,0,0,42,36,경기
99,343,75,0,0,0,화성시,0,0,0,343,0,0,0,0,0,75,0,경기
100,130,26,0,1,0,광주시,117,2,0,247,49,1,0,0,0,75,0,경기
101,68,3,0,0,0,양주시,80,2,0,148,49,2,0,0,0,52,0,경기
102,44,2,0,0,24,포천시,77,4,0,121,30,4,0,0,0,32,24,경기
103,79,54,0,0,16,여주시,0,13,0,79,0,13,0,0,0,54,16,경기
104,51,29,0,0,8,연천군,0,0,0,51,0,0,0,0,0,29,8,경기
