구분_시도,구분_시군구,종류,하위종류,발생량,매립,소각,재활용
강원,강릉시,음식물류 배출(분리배출 지역일 경우),EMPTY,76.9,0.0,0.0,76.9
강원,강릉시,재활용가능자원 분리배출,가구류,6.5,0.0,0.0,6.5
강원,강릉시,재활용가능자원 분리배출,고철류,7.2,0.0,0.0,7.2
강원,강릉시,재활용가능자원 분리배출,금속캔,0.1,0.0,0.0,0.1
강원,강릉시,재활용가능자원 분리배출,기타,0.0,0.0,0.0,0.0
강원,강릉시,재활용가능자원 분리배출,기타(배출불명 등),0.0,0.0,0.0,0.0
강원,강릉시,재활용가능자원 분리배출,발포수지류,0.0,0.0,0.0,0.0
강원,강릉시,재활용가능자원 분리배출,비닐류(합성수지류),0.5,0.0,0.0,0.5
강원,강릉시,재활용가능자원 분리배출,영농폐기물,3.8,0.0,0.0,3.8
강원,강릉시,재활용가능자원 분리배출,유리병류,1.3,0.0,0.0,1.3
강원,강릉시,재활용가능자원 분리배출,윤활유,13.3,0.0,0.0,13.3
강원,강릉시,재활용가능자원 분리배출,의류,5.7,0.0,0.0,5.7
강원,강릉시,재활용가능자원 분리배출,재활용잔재물,7.9,0.0,0.0,7.9
강원,강릉시,재활용가능자원 분리배출,전자제품,1.9,0.0,0.0,1.9
강원,강릉시,재활용가능자원 분리배출,전지류,0.0,0.0,0.0,0.0
강원,강릉시,재활용가능자원 분리배출,종이류,35.9,0.0,0.0,35.9
강원,강릉시,재활용가능자원 분리배출,타이어,20.8,0.0,0.0,20.8
강원,강릉시,재활용가능자원 분리배출,폐식용유,0.8,0.0,0.0,0.8
강원,강릉시,재활용가능자원 분리배출,플라스틱류,3.0,0.0,0.0,3.0
강원,강릉시,재활용가능자원 분리배출,형광등,0.0,0.0,0.0,0.0
강원,강릉시,종량제에 의한 혼합배출,가연성_고무피혁류,2.2,2.0,0.2,0.0
강원,강릉시,종량제에 의한 혼합배출,가연성_기타,53.1,48.6,4.5,0.0
강원,강릉시,종량제에 의한 혼합배출,가연성_나무류,0.5,0.4,0.1,0.0
강원,강릉시,종량제에 의한 혼합배출,가연성_음식물채소류,0.3,0.3,0.0,0.0
강원,강릉시,종량제에 의한 혼합배출,가연성_종이류,26.6,24.5,2.1,0.0
강원,강릉시,종량제에 의한 혼합배출,가연성_플라스틱류,23.5,21.5,2.0,0.0
강원,강릉시,종량제에 의한 혼합배출,불연성_금속류,3.3,3.3,0.0,0.0
강원,강릉시,종량제에 의한 혼합배출,불연성_기타,2.0,2.0,0.0,0.0
강원,강릉시,종량제에 의한 혼합배출,불연성_유리류,1.6,1.6,0.0,0.0
강원,강릉시,종량제에 의한 혼합배출,불연성_토사류,1.0,1.0,0.0,0.0
강원,고성군,음식물류 배출(분리배출 지역일 경우),EMPTY,5.9,0.0,0.5,5.4
강원,고성군,재활용가능자원 분리배출,가구류,0.0,0.0,0.0,0.0
강원,고성군,재활용가능자원 분리배출,고철류,0.2,0.0,0.0,0.2
강원,고성군,재활용가능자원 분리배출,금속캔,0.2,0.0,0.0,0.2
강원,고성군,재활용가능자원 분리배출,기타,0.1,0.0,0.0,0.1
강원,고성군,재활용가능자원 분리배출,기타(배출불명 등),0.0,0.0,0.0,0.0
강원,고성군,재활용가능자원 분리배출,발포수지류,0.1,0.0,0.0,0.1
강원,고성군,재활용가능자원 분리배출,비닐류(합성수지류),0.5,0.0,0.0,0.5
강원,고성군,재활용가능자원 분리배출,영농폐기물,0.3,0.0,0.0,0.3
강원,고성군,재활용가능자원 분리배출,유리병류,0.4,0.0,0.0,0.4
강원,고성군,재활용가능자원 분리배출,윤활유,0.0,0.0,0.0,0.0
강원,고성군,재활용가능자원 분리배출,의류,0.0,0.0,0.0,0.0
강원,고성군,재활용가능자원 분리배출,재활용잔재물,0.0,0.0,0.0,0.0
강원,고성군,재활용가능자원 분리배출,전자제품,0.0,0.0,0.0,0.0
강원,고성군,재활용가능자원 분리배출,전지류,0.0,0.0,0.0,0.0
강원,고성군,재활용가능자원 분리배출,종이류,0.2,0.0,0.0,0.2
강원,고성군,재활용가능자원 분리배출,타이어,0.1,0.0,0.0,0.1
강원,고성군,재활용가능자원 분리배출,폐식용유,0.0,0.0,0.0,0.0
강원,고성군,재활용가능자원 분리배출,플라스틱류,0.6,0.0,0.0,0.6
강원,고성군,재활용가능자원 분리배출,형광등,0.0,0.0,0.0,0.0
강원,고성군,종량제에 의한 혼합배출,가연성_고무피혁류,0.0,0.0,0.0,0.0
강원,고성군,종량제에 의한 혼합배출,가연성_기타,0.7,0.0,0.7,0.0
강원,고성군,종량제에 의한 혼합배출,가연성_나무류,0.1,0.0,0.1,0.0
강원,고성군,종량제에 의한 혼합배출,가연성_음식물채소류,0.8,0.0,0.8,0.0
강원,고성군,종량제에 의한 혼합배출,가연성_종이류,2.3,0.0,2.3,0.0
강원,고성군,종량제에 의한 혼합배출,가연성_플라스틱류,1.0,0.0,1.0,0.0
강원,고성군,종량제에 의한 혼합배출,불연성_금속류,0.0,0.0,0.0,0.0
강원,고성군,종량제에 의한 혼합배출,불연성_기타,0.0,0.0,0.0,0.0
강원,고성군,종량제에 의한 혼합배출,불연성_유리류,0.0,0.0,0.0,0.0
강원,고성군,종량제에 의한 혼합배출,불연성_토사류,0.0,0.0,0.0,0.0
강원,동해시,음식물류 배출(분리배출 지역일 경우),EMPTY,29.3,0.0,0.0,29.3
강원,동해시,재활용가능자원 분리배출,가구류,0.0,0.0,0.0,0.0
강원,동해시,재활용가능자원 분리배출,고철류,3.7,0.0,0.0,3.7
강원,동해시,재활용가능자원 분리배출,금속캔,0.7,0.0,0.0,0.7
강원,동해시,재활용가능자원 분리배출,기타,0.1,0.0,0.0,0.1
강원,동해시,재활용가능자원 분리배출,기타(배출불명 등),0.0,0.0,0.0,0.0
강원,동해시,재활용가능자원 분리배출,발포수지류,0.1,0.0,0.0,0.1
강원,동해시,재활용가능자원 분리배출,비닐류(합성수지류),0.1,0.0,0.0,0.1
강원,동해시,재활용가능자원 분리배출,영농폐기물,0.2,0.0,0.0,0.2
