,재활용가능자원 분리배출_종이류,종량제에 의한 혼합배출_가연성_음식물채소류,재활용가능자원 분리배출_기타,재활용가능자원 분리배출_전자제품,종량제에 의한 혼합배출_가연성_플라스틱류,종량제에 의한 혼합배출_불연성_소계,종량제에 의한 혼합배출_소계,재활용가능자원 분리배출_발포수지류,총계,재활용가능자원 분리배출_영농폐기물,종량제에 의한 혼합배출_불연성_토사류,재활용가능자원 분리배출_가구류,재활용가능자원 분리배출_기타(배출불명 등),음식물류 배출(분리배출 지역일 경우),재활용가능자원 분리배출_형광등,종량제에 의한 혼합배출_가연성_소계,재활용가능자원 분리배출_소계,구분_시군구,재활용가능자원 분리배출_폐식용유,종량제에 의한 혼합배출_가연성_고무피혁류,재활용가능자원 분리배출_윤활유,재활용가능자원 분리배출_전지류,재활용가능자원 분리배출_의류,종량제에 의한 혼합배출_가연성_기타,재활용가능자원 분리배출_합성수지류,종량제에 의한 혼합배출_가연성_나무류,재활용가능자원 분리배출_고철류,종량제에 의한 혼합배출_가연성_종이류,재활용가능자원 분리배출_플라스틱류,종량제에 의한 혼합배출_불연성_금속류,재활용가능자원 분리배출_캔류,발생량및처리현황,종량제에 의한 혼합배출_불연성_기타,재활용가능자원 분리배출_유리병류,종량제에 의한 혼합배출_불연성_유리류,재활용가능자원 분리배출_타이어,구분_시도
0,27.5,0.0,0.0,0.3,23.9,4.2,158.0,4.1,369.7,0.0,1.0,2.8,0.0,106.9,0.4,153.8,104.8,종로구,1.1,6.5,10.0,0.1,0.0,97.9,4.1,3.1,10.2,22.4,16.0,1.4,11.0,발생량,1.0,17.2,0.8,0.0,서울
1,0.0,0.0,0.0,0.0,1.0,1.7,35.0,0.0,35.0,0.0,0.8,0.0,0.0,0.0,0.0,33.3,0.0,종로구,0.0,0.5,0.0,0.0,0.0,31.6,0.0,0.1,0.0,0.1,0.0,0.3,0.0,매립,0.3,0.0,0.3,0.0,서울
2,0.0,0.0,0.0,0.0,22.9,2.5,123.0,0.0,123.0,0.0,0.2,0.0,0.0,0.0,0.0,120.5,0.0,종로구,0.0,6.0,0.0,0.0,0.0,66.3,0.0,3.0,0.0,22.3,0.0,1.1,0.0,소각,0.7,0.0,0.5,0.0,서울
3,27.5,0.0,0.0,0.3,0.0,0.0,0.0,4.1,211.7,0.0,0.0,2.8,0.0,106.9,0.4,0.0,104.8,종로구,1.1,0.0,10.0,0.1,0.0,0.0,4.1,0.0,10.2,0.0,16.0,0.0,11.0,재활용,0.0,17.2,0.0,0.0,서울
4,140.0,0.0,0.0,0.0,24.0,1.0,150.5,0.0,422.5,0.0,0.0,0.0,0.0,96.9,0.3,149.5,175.1,중구,0.0,12.9,0.0,0.0,0.0,56.2,0.9,18.4,20.2,38.0,0.8,0.0,2.5,발생량,0.0,10.4,1.0,0.0,서울
5,0.0,0.0,0.0,0.0,2.0,1.0,19.8,0.0,19.8,0.0,0.0,0.0,0.0,0.0,0.0,18.8,0.0,중구,0.0,2.0,0.0,0.0,0.0,6.1,0.0,2.9,0.0,5.8,0.0,0.0,0.0,매립,0.0,0.0,1.0,0.0,서울
6,0.0,0.0,0.0,0.0,22.0,0.0,130.7,0.0,130.7,0.0,0.0,0.0,0.0,0.0,0.0,130.7,0.0,중구,0.0,10.9,0.0,0.0,0.0,50.1,0.0,15.5,0.0,32.2,0.0,0.0,0.0,소각,0.0,0.0,0.0,0.0,서울
7,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272.0,0.0,0.0,0.0,0.0,96.9,0.3,0.0,175.1,중구,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,20.2,0.0,0.8,0.0,2.5,재활용,0.0,10.4,0.0,0.0,서울
8,52.2,0.0,0.4,1.0,5.3,0.0,87.7,0.3,247.1,0.0,0.0,0.2,0.0,69.7,0.1,87.7,89.7,용산구,0.8,1.3,0.0,0.0,2.2,48.4,3.5,5.1,12.1,27.6,8.5,0.0,2.9,발생량,0.0,5.5,0.0,0.0,서울
9,0.0,0.0,0.0,0.0,1.0,0.0,11.3,0.0,11.3,0.0,0.0,0.0,0.0,0.0,0.0,11.3,0.0,용산구,0.0,0.1,0.0,0.0,0.0,5.7,0.0,0.8,0.0,3.7,0.0,0.0,0.0,매립,0.0,0.0,0.0,0.0,서울
10,0.0,0.0,0.0,0.0,4.3,0.0,76.4,0.0,76.4,0.0,0.0,0.0,0.0,0.0,0.0,76.4,0.0,용산구,0.0,1.2,0.0,0.0,0.0,42.7,0.0,4.3,0.0,23.9,0.0,0.0,0.0,소각,0.0,0.0,0.0,0.0,서울
11,52.2,0.0,0.4,1.0,0.0,0.0,0.0,0.3,159.4,0.0,0.0,0.2,0.0,69.7,0.1,0.0,89.7,용산구,0.8,0.0,0.0,0.0,2.2,0.0,3.5,0.0,12.1,0.0,8.5,0.0,2.9,재활용,0.0,5.5,0.0,0.0,서울
12,34.2,0.0,0.5,0.3,22.7,2.9,78.6,0.0,236.6,0.0,0.1,0.0,0.0,84.8,0.0,75.7,73.2,성동구,0.0,2.9,0.0,0.0,0.2,16.6,8.3,1.5,2.9,32.0,9.1,0.2,6.9,발생량,2.6,10.8,0.0,0.0,서울
13,0.0,0.0,0.0,0.0,4.7,1.5,21.2,0.0,21.2,0.0,0.1,0.0,0.0,0.0,0.0,19.7,0.0,성동구,0.0,1.7,0.0,0.0,0.0,4.8,0.0,0.3,0.0,8.2,0.0,0.2,0.0,매립,1.2,0.0,0.0,0.0,서울
14,0.0,0.0,0.0,0.0,18.0,1.4,57.4,0.0,57.4,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,성동구,0.0,1.2,0.0,0.0,0.0,11.8,0.0,1.2,0.0,23.8,0.0,0.0,0.0,소각,1.4,0.0,0.0,0.0,서울
15,34.2,0.0,0.5,0.3,0.0,0.0,0.0,0.0,158.0,0.0,0.0,0.0,0.0,84.8,0.0,0.0,73.2,성동구,0.0,0.0,0.0,0.0,0.2,0.0,8.3,0.0,2.9,0.0,9.1,0.0,6.9,재활용,0.0,10.8,0.0,0.0,서울
16,68.3,0.6,0.0,1.0,21.2,4.8,83.6,0.0,300.6,0.0,1.0,11.5,0.3,94.1,0.3,78.5,122.9,광진구,0.0,1.4,0.0,0.4,0.4,26.6,1.1,1.7,15.7,27.0,9.4,0.5,1.6,발생량,2.7,13.2,0.6,0.0,서울
17,0.0,0.1,0.0,0.0,6.2,0.7,21.4,0.0,21.4,0.0,0.4,0.0,0.0,0.0,0.0,20.7,0.0,광진구,0.0,0.2,0.0,0.0,0.0,6.6,0.0,0.2,0.0,7.4,0.0,0.0,0.0,매립,0.2,0.0,0.1,0.0,서울
18,0.0,0.5,0.0,0.0,15.0,4.1,62.2,0.0,62.2,0.0,0.6,0.0,0.3,0.0,0.0,57.8,0.0,광진구,0.0,1.2,0.0,0.0,0.0,20.0,0.0,1.5,0.0,19.6,0.0,0.5,0.0,소각,2.5,0.0,0.5,0.0,서울
19,68.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,217.0,0.0,0.0,11.5,0.0,94.1,0.3,0.0,122.9,광진구,0.0,0.0,0.0,0.4,0.4,0.0,1.1,0.0,15.7,0.0,9.4,0.0,1.6,재활용,0.0,13.2,0.0,0.0,서울
20,84.7,0.0,5.0,0.2,25.7,3.2,110.5,3.0,401.2,0.0,0.0,3.2,0.0,102.6,0.2,107.3,188.1,동대문구,0.0,8.7,0.0,0.0,0.0,15.8,14.8,7.5,2.5,49.6,7.3,0.0,27.8,발생량,3.2,39.4,0.0,0.0,서울
21,0.0,0.0,0.0,0.0,1.2,3.2,20.6,0.0,20.6,0.0,0.0,0.0,0.0,0.0,0.0,17.4,0.0,동대문구,0.0,4.5,0.0,0.0,0.0,3.5,0.0,3.7,0.0,4.5,0.0,0.0,0.0,매립,3.2,0.0,0.0,0.0,서울
22,0.0,0.0,0.0,0.0,24.5,0.0,89.9,0.0,89.9,0.0,0.0,0.0,0.0,0.0,0.0,89.9,0.0,동대문구,0.0,4.2,0.0,0.0,0.0,12.3,0.0,3.8,0.0,45.1,0.0,0.0,0.0,소각,0.0,0.0,0.0,0.0,서울
23,84.7,0.0,5.0,0.2,0.0,0.0,0.0,3.0,290.7,0.0,0.0,3.2,0.0,102.6,0.2,0.0,188.1,동대문구,0.0,0.0,0.0,0.0,0.0,0.0,14.8,0.0,2.5,0.0,7.3,0.0,27.8,재활용,0.0,39.4,0.0,0.0,서울
24,84.7,4.8,0.0,0.0,26.0,2.1,102.7,0.5,357.3,0.0,0.1,0.0,0.6,88.9,3.4,100.0,165.7,중랑구,0.0,1.9,0.0,0.1,0.1,14.1,11.3,0.6,0.4,52.6,5.7,1.3,21.5,발생량,0.0,38.0,0.7,0.0,서울
25,0.0,0.7,0.0,0.0,3.9,0.3,13.6,0.0,13.6,0.0,0.0,0.0,0.6,0.0,0.0,12.7,0.0,중랑구,0.0,1.6,0.0,0.0,0.0,0.3,0.0,0.6,0.0,5.6,0.0,0.2,0.0,매립,0.0,0.0,0.1,0.0,서울
26,0.0,4.1,0.0,0.0,22.1,1.8,89.1,0.0,89.1,0.0,0.1,0.0,0.0,0.0,0.0,87.3,0.0,중랑구,0.0,0.3,0.0,0.0,0.0,13.8,0.0,0.0,0.0,47.0,0.0,1.1,0.0,소각,0.0,0.0,0.6,0.0,서울
27,84.7,0.0,0.0,0.0,0.0,0.0,0.0,0.5,254.6,0.0,0.0,0.0,0.0,88.9,3.4,0.0,165.7,중랑구,0.0,0.0,0.0,0.1,0.1,0.0,11.3,0.0,0.4,0.0,5.7,0.0,21.5,재활용,0.0,38.0,0.0,0.0,서울
28,81.5,12.7,0.0,0.1,8.1,0.0,102.5,0.4,341.4,0.0,0.0,15.0,0.0,102.4,0.2,102.5,136.5,성북구,0.0,1.5,0.0,0.1,1.4,24.9,19.7,17.4,0.0,37.9,5.5,0.0,5.5,발생량,0.0,7.1,0.0,0.0,서울
29,0.0,1.8,0.0,0.0,0.7,0.0,12.5,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,성북구,0.0,0.4,0.0,0.0,0.0,4.2,0.0,1.7,0.0,3.7,0.0,0.0,0.0,매립,0.0,0.0,0.0,0.0,서울
30,0.0,10.9,0.0,0.0,7.4,0.0,90.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,성북구,0.0,1.1,0.0,0.0,0.0,20.7,0.0,15.7,0.0,34.2,0.0,0.0,0.0,소각,0.0,0.0,0.0,0.0,서울
31,81.5,0.0,0.0,0.1,0.0,0.0,0.0,0.4,238.9,0.0,0.0,15.0,0.0,102.4,0.2,0.0,136.5,성북구,0.0,0.0,0.0,0.1,1.4,0.0,19.7,0.0,0.0,0.0,5.5,0.0,5.5,재활용,0.0,7.1,0.0,0.0,서울
32,5.2,3.4,0.2,0.4,18.2,4.4,75.2,2.0,224.3,0.0,0.1,0.5,0.1,83.7,2.1,70.7,65.4,강북구,0.1,0.3,0.0,0.3,1.2,7.1,5.4,3.2,4.3,38.5,16.3,1.0,6.0,발생량,2.8,21.4,0.5,0.0,서울
33,0.0,0.3,0.0,0.0,1.6,1.8,8.0,0.0,8.0,0.0,0.0,0.0,0.1,0.0,0.0,6.1,0.0,강북구,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.3,0.0,3.3,0.0,0.1,0.0,매립,1.7,0.0,0.0,0.0,서울
34,0.0,3.1,0.0,0.0,16.6,2.6,67.2,0.0,67.2,0.0,0.1,0.0,0.0,0.0,0.0,64.6,0.0,강북구,0.0,0.3,0.0,0.0,0.0,6.5,0.0,2.9,0.0,35.2,0.0,0.9,0.0,소각,1.1,0.0,0.5,0.0,서울
35,5.2,0.0,0.2,0.4,0.0,0.0,0.0,2.0,149.1,0.0,0.0,0.5,0.0,83.7,2.1,0.0,65.4,강북구,0.1,0.0,0.0,0.3,1.2,0.0,5.4,0.0,4.3,0.0,16.3,0.0,6.0,재활용,0.0,21.4,0.0,0.0,서울
36,114.8,0.0,0.0,0.1,3.0,5.2,64.0,0.4,290.2,0.0,0.0,0.0,0.0,88.4,0.0,58.8,137.8,도봉구,0.0,0.5,0.0,0.0,5.8,39.3,13.3,1.0,0.0,15.0,0.8,0.0,0.3,발생량,0.2,2.3,5.0,0.0,서울
37,0.0,0.0,0.0,0.0,0.0,5.2,5.2,0.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,도봉구,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,매립,0.2,0.0,5.0,0.0,서울
38,0.0,0.0,0.0,0.0,3.0,0.0,58.8,0.0,58.8,0.0,0.0,0.0,0.0,0.0,0.0,58.8,0.0,도봉구,0.0,0.5,0.0,0.0,0.0,39.3,0.0,1.0,0.0,15.0,0.0,0.0,0.0,소각,0.0,0.0,0.0,0.0,서울
39,114.8,0.0,0.0,0.1,0.0,0.0,0.0,0.4,226.2,0.0,0.0,0.0,0.0,88.4,0.0,0.0,137.8,도봉구,0.0,0.0,0.0,0.0,5.8,0.0,13.3,0.0,0.0,0.0,0.8,0.0,0.3,재활용,0.0,2.3,0.0,0.0,서울
40,70.4,0.0,2.2,1.2,1.0,1.3,116.5,0.2,443.2,0.0,0.0,13.0,0.0,152.6,0.6,115.2,174.1,노원구,0.3,1.0,0.0,0.1,0.6,61.2,27.1,13.0,9.1,39.0,26.1,0.1,11.2,발생량,0.9,12.0,0.3,0.0,서울
41,0.0,0.0,0.0,0.0,0.0,1.3,6.5,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,5.2,0.0,노원구,0.0,0.0,0.0,0.0,0.0,5.2,0.0,0.0,0.0,0.0,0.0,0.1,0.0,매립,0.9,0.0,0.3,0.0,서울
42,0.0,0.0,0.0,0.0,1.0,0.0,110.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,0.0,노원구,0.0,1.0,0.0,0.0,0.0,56.0,0.0,13.0,0.0,39.0,0.0,0.0,0.0,소각,0.0,0.0,0.0,0.0,서울
43,70.4,0.0,2.2,1.2,0.0,0.0,0.0,0.2,326.7,0.0,0.0,13.0,0.0,152.6,0.6,0.0,174.1,노원구,0.3,0.0,0.0,0.1,0.6,0.0,27.1,0.0,9.1,0.0,26.1,0.0,11.2,재활용,0.0,12.0,0.0,0.0,서울
44,2.6,0.0,0.4,1.6,6.2,0.0,134.1,0.4,277.5,0.0,0.0,23.8,0.0,91.1,0.0,134.1,52.3,은평구,0.0,8.5,0.0,0.0,0.0,86.2,13.5,15.1,0.2,18.1,5.8,0.0,1.4,발생량,0.0,2.6,0.0,0.0,서울
45,0.0,0.0,0.0,0.0,3.2,0.0,48.3,0.0,48.3,0.0,0.0,0.0,0.0,0.0,0.0,48.3,0.0,은평구,0.0,4.9,0.0,0.0,0.0,28.4,0.0,2.8,0.0,9.0,0.0,0.0,0.0,매립,0.0,0.0,0.0,0.0,서울
46,0.0,0.0,0.0,0.0,3.0,0.0,85.8,0.0,85.8,0.0,0.0,0.0,0.0,0.0,0.0,85.8,0.0,은평구,0.0,3.6,0.0,0.0,0.0,57.8,0.0,12.3,0.0,9.1,0.0,0.0,0.0,소각,0.0,0.0,0.0,0.0,서울
47,2.6,0.0,0.4,1.6,0.0,0.0,0.0,0.4,143.4,0.0,0.0,23.8,0.0,91.1,0.0,0.0,52.3,은평구,0.0,0.0,0.0,0.0,0.0,0.0,13.5,0.0,0.2,0.0,5.8,0.0,1.4,재활용,0.0,2.6,0.0,0.0,서울
48,55.4,0.0,0.0,5.7,3.4,0.0,98.4,0.0,282.6,0.0,0.0,0.0,0.9,76.4,12.7,97.5,107.8,서대문구,0.0,2.7,0.3,0.0,0.0,83.1,4.5,1.6,0.0,6.7,6.0,0.0,2.0,발생량,0.0,21.2,0.0,0.0,서울
49,0.0,0.0,0.0,0.0,0.7,0.0,12.0,0.0,12.0,0.0,0.0,0.0,0.9,0.0,0.0,11.1,0.0,서대문구,0.0,0.4,0.0,0.0,0.0,9.1,0.0,0.3,0.0,0.6,0.0,0.0,0.0,매립,0.0,0.0,0.0,0.0,서울
50,0.0,0.0,0.0,0.0,2.7,0.0,86.4,0.0,86.4,0.0,0.0,0.0,0.0,0.0,0.0,86.4,0.0,서대문구,0.0,2.3,0.0,0.0,0.0,74.0,0.0,1.3,0.0,6.1,0.0,0.0,0.0,소각,0.0,0.0,0.0,0.0,서울
51,55.4,0.0,0.0,5.7,0.0,0.0,0.0,0.0,184.2,0.0,0.0,0.0,0.0,76.4,12.7,0.0,107.8,서대문구,0.0,0.0,0.3,0.0,0.0,0.0,4.5,0.0,0.0,0.0,6.0,0.0,2.0,재활용,0.0,21.2,0.0,0.0,서울
52,80.1,3.4,9.7,0.2,21.3,3.1,132.5,0.3,448.3,0.0,0.2,0.0,0.0,129.1,1.1,129.4,186.7,마포구,0.0,2.0,0.0,0.1,15.7,20.1,20.9,2.7,17.6,79.9,14.5,0.0,9.2,발생량,2.8,17.3,0.1,0.0,서울
53,0.0,0.5,0.0,0.0,2.6,0.5,14.1,0.0,14.1,0.0,0.2,0.0,0.0,0.0,0.0,13.6,0.0,마포구,0.0,0.7,0.0,0.0,0.0,2.6,0.0,0.5,0.0,6.7,0.0,0.0,0.0,매립,0.2,0.0,0.1,0.0,서울
54,0.0,2.9,0.0,0.0,18.7,2.6,118.4,0.0,118.4,0.0,0.0,0.0,0.0,0.0,0.0,115.8,0.0,마포구,0.0,1.3,0.0,0.0,0.0,17.5,0.0,2.2,0.0,73.2,0.0,0.0,0.0,소각,2.6,0.0,0.0,0.0,서울
55,80.1,0.0,9.7,0.2,0.0,0.0,0.0,0.3,315.8,0.0,0.0,0.0,0.0,129.1,1.1,0.0,186.7,마포구,0.0,0.0,0.0,0.1,15.7,0.0,20.9,0.0,17.6,0.0,14.5,0.0,9.2,재활용,0.0,17.3,0.0,0.0,서울
56,50.6,0.0,1.7,0.3,0.0,0.0,90.0,0.5,262.1,0.0,0.0,0.0,0.0,106.9,0.1,90.0,65.2,양천구,0.0,0.0,0.0,0.1,0.9,90.0,0.0,0.0,1.1,0.0,4.8,0.0,2.0,발생량,0.0,3.1,0.0,0.0,서울
57,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,양천구,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,매립,0.0,0.0,0.0,0.0,서울
58,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,양천구,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,소각,0.0,0.0,0.0,0.0,서울
