,BUCKET_MAX_LOADER,ARROW_CAR,CTS_JIDT_NM,TANK_MAX_LORRY,TOT_SUM,CARGO_MAX_CAR,RMVL,STICK_CAR,COLS_CAR,WT_GB_NM,CTN_MAX_TRUCK,DMPT_MAX_TRUCK,ETC_MAX,PRESSU_COMPR,FER_MAX_CAR,CITY_JIDT_NM
0,0,7,종로구,0,92,0,36,0,14,발생량,0,8,2,25,0,서울
1,0,7,종로구,0,78,0,36,0,0,생활폐기물,0,8,2,25,0,서울
2,0,0,종로구,0,14,0,0,0,14,음식물폐기물,0,0,0,0,0,서울
3,0,23,중구,0,76,5,9,6,2,발생량,0,6,6,19,0,서울
4,0,17,중구,0,58,3,6,0,1,생활폐기물,0,6,6,19,0,서울
5,0,6,중구,0,18,2,3,6,1,음식물폐기물,0,0,0,0,0,서울
6,0,12,용산구,0,116,12,27,6,22,발생량,0,2,14,21,0,서울
7,0,9,용산구,0,101,9,27,1,22,생활폐기물,0,2,14,17,0,서울
8,0,3,용산구,0,15,3,0,5,0,음식물폐기물,0,0,0,4,0,서울
9,0,13,성동구,0,97,16,0,7,19,발생량,0,4,21,17,0,서울
10,0,13,성동구,0,84,16,0,4,18,생활폐기물,0,4,21,8,0,서울
11,0,0,성동구,0,13,0,0,3,1,음식물폐기물,0,0,0,9,0,서울
12,0,4,광진구,0,40,1,2,6,13,발생량,0,5,0,9,0,서울
13,0,4,광진구,0,40,1,2,6,13,생활폐기물,0,5,0,9,0,서울
14,0,0,광진구,0,0,0,0,0,0,음식물폐기물,0,0,0,0,0,서울
15,1,12,동대문구,0,130,38,16,13,0,발생량,0,11,27,12,0,서울
16,1,12,동대문구,0,117,38,16,0,0,생활폐기물,0,11,27,12,0,서울
17,0,0,동대문구,0,13,0,0,13,0,음식물폐기물,0,0,0,0,0,서울
18,1,13,중랑구,0,76,19,0,0,0,발생량,0,14,2,27,0,서울
19,1,13,중랑구,0,63,19,0,0,0,생활폐기물,0,14,2,14,0,서울
20,0,0,중랑구,0,13,0,0,0,0,음식물폐기물,0,0,0,13,0,서울
