시도,시군구,소속기관,인원장비,관리인원or장비_대수,year
서울,종로구,자치단체,인원(명),152,2016
서울,중구,자치단체,인원(명),0,2016
서울,용산구,자치단체,인원(명),74,2016
서울,성동구,자치단체,인원(명),92,2016
서울,광진구,자치단체,인원(명),91,2016
서울,동대문구,자치단체,인원(명),100,2016
서울,중랑구,자치단체,인원(명),7,2016
서울,성북구,자치단체,인원(명),123,2016
서울,강북구,자치단체,인원(명),96,2016
서울,도봉구,자치단체,인원(명),27,2016
서울,노원구,자치단체,인원(명),159,2016
서울,은평구,자치단체,인원(명),37,2016
서울,서대문구,자치단체,인원(명),190,2016
서울,마포구,자치단체,인원(명),136,2016
서울,양천구,자치단체,인원(명),69,2016
서울,강서구,자치단체,인원(명),132,2016
서울,구로구,자치단체,인원(명),29,2016
서울,금천구,자치단체,인원(명),28,2016
서울,영등포구,자치단체,인원(명),139,2016
서울,동작구,자치단체,인원(명),137,2016
서울,관악구,자치단체,인원(명),204,2016
서울,서초구,자치단체,인원(명),201,2016
서울,강남구,자치단체,인원(명),45,2016
서울,송파구,자치단체,인원(명),101,2016
서울,강동구,자치단체,인원(명),97,2016
부산,중구,자치단체,인원(명),63,2016
부산,서구,자치단체,인원(명),38,2016
부산,동구,자치단체,인원(명),78,2016
부산,영도구,자치단체,인원(명),65,2016
부산,부산진구,자치단체,인원(명),115,2016
부산,동래구,자치단체,인원(명),66,2016
부산,남구,자치단체,인원(명),79,2016
부산,북구,자치단체,인원(명),74,2016
부산,해운대구,자치단체,인원(명),97,2016
부산,사하구,자치단체,인원(명),99,2016
부산,금정구,자치단체,인원(명),64,2016
부산,강서구,자치단체,인원(명),17,2016
부산,연제구,자치단체,인원(명),53,2016
부산,수영구,자치단체,인원(명),59,2016
부산,사상구,자치단체,인원(명),89,2016
부산,기장군,자치단체,인원(명),30,2016
대구,중구,자치단체,인원(명),130,2016
대구,동구,자치단체,인원(명),161,2016
대구,서구,자치단체,인원(명),129,2016
대구,남구,자치단체,인원(명),120,2016
대구,북구,자치단체,인원(명),165,2016
대구,수성구,자치단체,인원(명),153,2016
대구,달서구,자치단체,인원(명),79,2016
대구,달성군,자치단체,인원(명),74,2016
대구,군위군,자치단체,인원(명),7,2016
인천,중구,자치단체,인원(명),84,2016
인천,동구,자치단체,인원(명),41,2016
인천,미추홀구,자치단체,인원(명),0,2016
인천,연수구,자치단체,인원(명),71,2016
인천,남동구,자치단체,인원(명),0,2016
인천,부평구,자치단체,인원(명),137,2016
인천,계양구,자치단체,인원(명),0,2016
인천,서구,자치단체,인원(명),0,2016
인천,강화군,자치단체,인원(명),44,2016
인천,옹진군,자치단체,인원(명),44,2016
광주,동구,자치단체,인원(명),40,2016
광주,서구,자치단체,인원(명),56,2016
광주,남구,자치단체,인원(명),50,2016
광주,북구,자치단체,인원(명),148,2016
광주,광산구,자치단체,인원(명),135,2016
대전,동구,자치단체,인원(명),103,2016
대전,중구,자치단체,인원(명),109,2016
대전,서구,자치단체,인원(명),146,2016
대전,유성구,자치단체,인원(명),14,2016
대전,대덕구,자치단체,인원(명),90,2016
울산,중구,자치단체,인원(명),35,2016
울산,남구,자치단체,인원(명),71,2016
울산,동구,자치단체,인원(명),48,2016
울산,북구,자치단체,인원(명),50,2016
울산,울주군,자치단체,인원(명),42,2016
세종,세종특별자치시,자치단체,인원(명),80,2016
경기,수원시,자치단체,인원(명),415,2016
경기,성남시,자치단체,인원(명),66,2016
경기,의정부시,자치단체,인원(명),4,2016
경기,안양시,자치단체,인원(명),195,2016
경기,부천시,자치단체,인원(명),96,2016
경기,광명시,자치단체,인원(명),38,2016
경기,평택시,자치단체,인원(명),0,2016
경기,동두천시,자치단체,인원(명),48,2016
경기,안산시,자치단체,인원(명),567,2016
경기,고양시,자치단체,인원(명),149,2016
경기,과천시,자치단체,인원(명),63,2016
경기,구리시,자치단체,인원(명),40,2016
경기,남양주시,자치단체,인원(명),0,2016
경기,오산시,자치단체,인원(명),58,2016
경기,시흥시,자치단체,인원(명),313,2016
경기,군포시,자치단체,인원(명),169,2016
경기,의왕시,자치단체,인원(명),35,2016
경기,하남시,자치단체,인원(명),116,2016
경기,용인시,자치단체,인원(명),122,2016
경기,파주시,자치단체,인원(명),349,2016
경기,이천시,자치단체,인원(명),67,2016
경기,안성시,자치단체,인원(명),183,2016
경기,김포시,자치단체,인원(명),51,2016
경기,화성시,자치단체,인원(명),343,2016
경기,광주시,자치단체,인원(명),130,2016
경기,양주시,자치단체,인원(명),68,2016
경기,포천시,자치단체,인원(명),44,2016
경기,여주시,자치단체,인원(명),79,2016
경기,연천군,자치단체,인원(명),51,2016
경기,가평군,자치단체,인원(명),53,2016
경기,양평군,자치단체,인원(명),75,2016
충북,청주시,자치단체,인원(명),382,2016
충북,충주시,자치단체,인원(명),102,2016
충북,제천시,자치단체,인원(명),62,2016
충북,보은군,자치단체,인원(명),10,2016
충북,옥천군,자치단체,인원(명),7,2016
충북,영동군,자치단체,인원(명),48,2016
충북,증평군,자치단체,인원(명),3,2016
충북,진천군,자치단체,인원(명),43,2016
충북,괴산군,자치단체,인원(명),25,2016
충북,음성군,자치단체,인원(명),10,2016
충북,단양군,자치단체,인원(명),65,2016
충남,천안시,자치단체,인원(명),328,2016
충남,공주시,자치단체,인원(명),90,2016
충남,보령시,자치단체,인원(명),14,2016
충남,아산시,자치단체,인원(명),95,2016
충남,서산시,자치단체,인원(명),48,2016
충남,논산시,자치단체,인원(명),23,2016
충남,계룡시,자치단체,인원(명),22,2016
충남,당진시,자치단체,인원(명),136,2016
충남,금산군,자치단체,인원(명),51,2016
충남,부여군,자치단체,인원(명),4,2016
충남,서천군,자치단체,인원(명),76,2016
