시도,시군구,지방채,기타,국비,차관,세입수수료,지방비_분류,지방비,year
서울,서울,0,0,0,0,0,자체예산,0,2016
서울,종로구,0,0,0,0,9630000,자체예산,29270941,2016
서울,중구,0,0,0,0,11884000,자체예산,35551383,2016
서울,용산구,0,1822106,0,0,7801000,자체예산,26091078,2016
서울,성동구,0,0,0,0,10108000,자체예산,30250900,2016
서울,광진구,0,0,0,0,5770000,자체예산,6170873,2016
서울,동대문구,0,0,0,0,7623000,자체예산,29183074,2016
서울,중랑구,0,0,0,0,8194000,자체예산,11419374,2016
서울,성북구,0,0,0,0,7872000,자체예산,30495653,2016
서울,강북구,0,0,0,0,6845000,자체예산,25294678,2016
서울,도봉구,0,0,0,0,3900000,자체예산,22359533,2016
서울,노원구,0,0,0,0,9699000,자체예산,32654262,2016
서울,은평구,0,0,0,0,7852000,자체예산,15236237,2016
서울,서대문구,0,0,0,0,6041000,자체예산,25406648,2016
서울,마포구,0,0,0,0,9205000,자체예산,31955028,2016
서울,양천구,0,0,0,0,9126000,자체예산,16359878,2016
서울,강서구,0,10196530,0,0,10697000,자체예산,37230781,2016
서울,구로구,0,0,0,0,5349000,자체예산,15727714,2016
서울,금천구,0,0,0,0,4768000,자체예산,21441619,2016
서울,영등포구,0,0,0,0,8524000,자체예산,33431059,2016
서울,동작구,0,0,0,0,8140000,자체예산,28772959,2016
서울,관악구,0,0,0,0,8752000,자체예산,34774158,2016
서울,서초구,0,0,0,0,12557000,자체예산,37781034,2016
서울,강남구,0,0,0,0,15023000,자체예산,57967756,2016
서울,송파구,0,0,0,0,16625000,자체예산,30730676,2016
서울,강동구,0,0,0,0,7869000,자체예산,16208068,2016
부산,부산,2000000,0,0,0,18792844,자체예산,0,2016
부산,중구,0,0,0,0,1593000,자체예산,9995190,2016
부산,서구,0,0,0,0,1963000,자체예산,11739571,2016
부산,동구,0,0,0,0,1953000,자체예산,9804887,2016
부산,영도구,0,0,0,0,2286000,자체예산,11590627,2016
부산,부산진구,0,0,0,0,7061000,자체예산,20922075,2016
부산,동래구,0,0,0,0,4518000,자체예산,13973494,2016
