,시도,시군구,전체행정구역_인구(명),전체행정구역_세대수(가구),year
0,서울,종로구,158996,75003,2020
1,서울,중구,134635,63686,2020
2,서울,용산구,244645,113093,2020
3,서울,성동구,300505,135870,2020
4,서울,광진구,360109,167427,2020
5,서울,동대문구,357014,167598,2020
6,서울,중랑구,399562,185920,2020
7,서울,성북구,447056,195396,2020
8,서울,강북구,311569,145896,2020
9,서울,도봉구,327361,139114,2020
10,서울,노원구,527032,218270,2020
11,서울,은평구,484043,213914,2020
12,서울,서대문구,322952,144838,2020
13,서울,마포구,381858,178482,2020
14,서울,양천구,457781,180633,2020
15,서울,강서구,585901,266982,2020
16,서울,구로구,432488,180531,2020
17,서울,금천구,247835,114715,2020
18,서울,영등포구,407367,184714,2020
19,서울,동작구,401572,184229,2020
20,서울,관악구,509803,274811,2020
21,서울,서초구,429025,173502,2020
22,서울,강남구,544055,234872,2020
23,서울,송파구,673926,281959,2020
24,서울,강동구,463998,196499,2020
25,부산,중구,43393,23847,2020
26,부산,서구,109826,53853,2020
27,부산,동구,90574,46003,2020
28,부산,영도구,114913,54903,2020
29,부산,부산진구,362216,173263,2020
30,부산,동래구,271676,114987,2020
31,부산,남구,272754,117876,2020
32,부산,북구,286002,120668,2020
33,부산,해운대구,405664,171376,2020
34,부산,사하구,315575,138854,2020
35,부산,금정구,236207,107561,2020
36,부산,강서구,142382,58141,2020
37,부산,연제구,209924,92583,2020
38,부산,수영구,178124,84311,2020
39,부산,사상구,216705,97556,2020
40,부산,기장군,176377,74649,2020
41,대구,중구,77262,39111,2020
42,대구,동구,343685,155865,2020
43,대구,서구,172879,83437,2020
44,대구,남구,148247,76582,2020
45,대구,북구,444923,187494,2020
46,대구,수성구,425987,170870,2020
47,대구,달서구,568481,235303,2020
48,대구,달성군,264680,107965,2020
49,대구,군위군,23748,13096,2020
50,인천,중구,143656,68379,2020
51,인천,동구,63397,28777,2020
52,인천,미추홀구,413246,188277,2020
53,인천,연수구,399869,152266,2020
54,인천,남동구,536938,225394,2020
55,인천,부평구,508881,211305,2020
56,인천,계양구,299904,124421,2020
57,인천,서구,553890,223229,2020
58,인천,강화군,70025,33915,2020
59,인천,옹진군,20670,11993,2020
60,인천,경제청,0,0,2020
61,광주,동구,104510,51029,2020
62,광주,서구,298223,131373,2020
63,광주,남구,216032,93295,2020
64,광주,북구,435063,191997,2020
65,광주,광산구,417557,165888,2020
66,대전,동구,227426,105729,2020
67,대전,중구,237000,107626,2020
68,대전,서구,481107,209931,2020
69,대전,유성구,356738,151292,2020
70,대전,대덕구,178506,78205,2020
71,울산,중구,219428,93212,2020
72,울산,남구,324527,137925,2020
73,울산,동구,159939,65815,2020
74,울산,북구,221325,83781,2020
75,울산,울주군,228682,96160,2020
76,세종,세종시,360907,144275,2020
77,경기,수원시,1221913,506950,2020
78,경기,고양시,1090738,448574,2020
79,경기,성남시,955248,407912,2020
80,경기,용인시,1090907,420519,2020
81,경기,부천시,842788,344495,2020
82,경기,안산시,706185,286061,2020
83,경기,남양주시,720462,285334,2020
84,경기,안양시,556570,220552,2020
85,경기,화성시,892884,351924,2020
86,경기,평택시,560475,243838,2020
87,경기,의정부시,466455,201630,2020
88,경기,시흥시,500895,211150,2020
89,경기,파주시,476272,200270,2020
90,경기,김포시,492766,193234,2020
91,경기,광명시,303068,120560,2020
92,경기,광주시,393954,164320,2020
93,경기,군포시,280039,112476,2020
94,경기,오산시,238956,99436,2020
95,경기,이천시,225418,96799,2020
96,경기,양주시,237370,97998,2020
97,경기,안성시,198234,85839,2020
98,경기,구리시,198856,81520,2020
99,경기,포천시,159389,71315,2020
100,경기,의왕시,164857,64690,2020
101,경기,하남시,295620,128774,2020
102,경기,여주시,115358,51748,2020
103,경기,양평군,120174,57675,2020
104,경기,동두천시,97687,43874,2020
105,경기,과천시,63397,23373,2020
106,경기,가평군,63380,31533,2020
107,경기,연천군,44433,22028,2020
108,충북,청주시,857527,376252,2020
109,충북,충주시,214961,98020,2020
110,충북,제천시,134520,63945,2020
111,충북,보은군,32912,16981,2020
112,충북,옥천군,51205,24437,2020
113,충북,영동군,48247,24414,2020
114,충북,증평군,37629,17697,2020
115,충북,진천군,89364,39594,2020
116,충북,괴산군,40350,22145,2020
117,충북,음성군,101844,46831,2020
118,충북,단양군,29338,15328,2020
